epoch,learning_rate,loss,known_ce,classifier_placeholder,data_placeholder,validation_accuracy
86,0.005449673790581615,0.006694670949296819,0.006694670949296819,0.0,0.0,0.9458
87,0.004758647376699036,0.004514620938152075,0.004514620938152075,0.0,0.0,0.9464
88,0.004112268715800957,0.003915733237398996,0.003915733237398996,0.0,0.0,0.9488
89,0.003511175705587435,0.003852729940166076,0.003852729940166076,0.0,0.0,0.9504
90,0.0029559615522887295,0.003711676399078634,0.003711676399078634,0.0,0.0,0.9486
91,0.0024471741852423253,0.0031701593102680314,0.0031701593102680314,0.0,0.0,0.9486
92,0.0019853157161528537,0.0030048600488238866,0.0030048600488238866,0.0,0.0,0.9488
93,0.0015708419435684529,0.002524006519632207,0.002524006519632207,0.0,0.0,0.95
94,0.0012041619030626347,0.002511340764703022,0.002511340764703022,0.0,0.0,0.9494
95,0.0008856374635655646,0.002379135092596213,0.002379135092596213,0.0,0.0,0.9496
96,0.0006155829702431174,0.002562260731558005,0.002562260731558005,0.0,0.0,0.9498
97,0.00039426493427611206,0.0021583112133873833,0.0021583112133873833,0.0,0.0,0.951
98,0.00022190176984600036,0.002295101078434123,0.002295101078434123,0.0,0.0,0.9494
99,9.866357858642213e-05,0.002240294958361321,0.002240294958361321,0.0,0.0,0.951
100,2.4671981713420017e-05,0.0023012109281702175,0.0023012109281702175,0.0,0.0,0.9506
